season,episode_num,title,original_air_date,imdb_rating,total_votes,desc
6,18,Suicide Squad,16 May 2019,9.1,2579,"Desperate circumstances call for desperate measures, as Jake, Holt, Amy, Terry, Rosa and Charles must ally themselves with old enemies."
7,1,Manhunter,6 Feb. 2020,8.1,2029,Jake leads a manhunt after an assassination attempt on a city councilor; Holt adjusts to his new position as a uniformed officer.
7,2,Captain Kim,6 Feb. 2020,8.3,1922,The new captain of the Nine-Nine invites the squad over to her house for a dinner party.
7,3,Pimemento,13 Feb. 2020,8.6,2065,Adrian Pimento shows up unexpectedly to seek Jake and Charles' help after claiming someone is trying to kill him; the rest of the squad endures a workplace conflict seminar.
7,4,The Jimmy Jab Games II,20 Feb. 2020,7.9,1794,Competitive juices are flowing as Jake and the squad compete in the second Jimmy Jab Games.
7,5,Debbie,27 Feb. 2020,7.3,1900,"When cocaine and weapons are stolen from the evidence lock-up, the squad must investigate the Nine-Nine itself."
7,6,Trying,5 Mar. 2020,7.8,1740,Jake and Amy work an uncrackable case while Holt adjusts to a new beat. Hitchcock looks for the love of his life.
7,7,Ding Dong,12 Mar. 2020,8.7,2027,Capt. Holt deals with a personal loss; Jake must decide whether to take Terry or Charles to an exclusive event.
7,8,The Takeback,19 Mar. 2020,8.2,1789,"Doug Judy is back, and this time, things between him and Jake are personal; Amy and Charles try to find the perfect new vending machine for the Nine-Nine."
7,9,Dillman,26 Mar. 2020,8.7,1851,"When a prank goes disastrously awry, things at the Nine-Nine take a distinctly Agatha Christie turn."
7,10,Admiral Peralta,2 Apr. 2020,8.0,1635,Jake and his father deal with unsettled family business; Amy and Rosa work a high-profile case; Terry wants to join the NYPD band.
7,11,Valloweaster,9 Apr. 2020,8.3,1817,The squad competes in an effort to determine who is the greatest human/genius.
7,12,Ransom,16 Apr. 2020,8.8,1940,Holt asks for Jake's help in a case that is exceptionally meaningful to him. Charles and Terry work together on a side business.
7,13,Lights Out,23 Apr. 2020,9.3,2759,The entire squad is on high alert when a massive blackout hits Brooklyn.
8,1,The Good Ones,12 Aug. 2021,4.8,4422,Amy returns from maternity leave; Jake and Rosa work a difficult case.
8,2,The Lake House,12 Aug. 2021,7.9,1857,The squad takes Capt. Holt up on an offer for a weekend getaway.
8,3,Blue Flu,19 Aug. 2021,7.0,1604,Captain Holt and Amy manage an understaffed precinct; Jake and Charles investigate.
8,4,Balancing,19 Aug. 2021,7.8,1422,Jake and Amy create a system to balance work and childcare; Rosa gets a new houseguest.
8,5,PB&J,26 Aug. 2021,8.0,1421,Jake takes an old friend for a ride.
8,6,The Set Up,26 Aug. 2021,6.8,1489,"When the FBI takes over a high-profile case, Jake keeps digging; Amy and Rosa negotiate with O'Sullivan and the police union."
8,7,Game of Boyles,2 Sep. 2021,8.1,1244,"Terry, Jake and Charles visit the Boyle Family Farm; Amy and Rosa help out Capt. Holt."
8,8,Renewal,2 Sep. 2021,8.2,1178,The squad comes together to work an important high-stakes case.
8,9,The Last Day Pt 1,16 Sep. 2021,9.4,2088,The squad takes stock of their eight years together and look toward's their future.
8,10,The Last Day Pt 2,16 Sep. 2021,9.6,2636,The squad takes stock of their eight years together and look toward's their future.
